"Stadtteil","Jahr","Anzahl"
"Innenstadt-Ost","2014",3
"Innenstadt-Ost","2015",3
"Innenstadt-Ost","2016",3
"Innenstadt-Ost","2017",3
"Innenstadt-Ost","2018",3
"Innenstadt-Ost","2019",3
"Innenstadt-Ost","2020",3
"Innenstadt-West","2014",5
"Innenstadt-West","2015",4
"Innenstadt-West","2016",4
"Innenstadt-West","2017",4
"Innenstadt-West","2018",4
"Innenstadt-West","2019",4
"Innenstadt-West","2020",4
"Südstadt","2014",11
"Südstadt","2015",11
"Südstadt","2016",12
"Südstadt","2017",12
"Südstadt","2018",12
"Südstadt","2019",12
"Südstadt","2020",12
"Südweststadt","2014",11
"Südweststadt","2015",11
"Südweststadt","2016",11
"Südweststadt","2017",11
"Südweststadt","2018",11
"Südweststadt","2019",11
"Südweststadt","2020",11
"Weststadt","2014",8
"Weststadt","2015",8
"Weststadt","2016",8
"Weststadt","2017",8
"Weststadt","2018",8
"Weststadt","2019",8
"Weststadt","2020",8
"Nordweststadt","2014",20
"Nordweststadt","2015",20
"Nordweststadt","2016",18
"Nordweststadt","2017",18
"Nordweststadt","2018",19
"Nordweststadt","2019",19
"Nordweststadt","2020",20
"Oststadt","2014",11
"Oststadt","2015",11
"Oststadt","2016",13
"Oststadt","2017",13
"Oststadt","2018",13
"Oststadt","2019",13
"Oststadt","2020",13
"Mühlburg","2014",10
"Mühlburg","2015",10
"Mühlburg","2016",10
"Mühlburg","2017",10
"Mühlburg","2018",10
"Mühlburg","2019",10
"Mühlburg","2020",10
"Daxlanden","2014",14
"Daxlanden","2015",15
"Daxlanden","2016",15
"Daxlanden","2017",15
"Daxlanden","2018",15
"Daxlanden","2019",16
"Daxlanden","2020",15
"Knielingen","2014",9
"Knielingen","2015",9
"Knielingen","2016",9
"Knielingen","2017",9
"Knielingen","2018",9
"Knielingen","2019",9
"Knielingen","2020",9
"Grünwinkel","2014",10
"Grünwinkel","2015",10
"Grünwinkel","2016",10
"Grünwinkel","2017",10
"Grünwinkel","2018",10
"Grünwinkel","2019",9
"Grünwinkel","2020",9
"Oberreut","2014",22
"Oberreut","2015",22
"Oberreut","2016",23
"Oberreut","2017",23
"Oberreut","2018",23
"Oberreut","2019",23
"Oberreut","2020",23
"Beiertheim-Bulach","2014",6
"Beiertheim-Bulach","2015",6
"Beiertheim-Bulach","2016",6
"Beiertheim-Bulach","2017",6
"Beiertheim-Bulach","2018",6
"Beiertheim-Bulach","2019",6
"Beiertheim-Bulach","2020",6
"Weiherfeld-Dammerstock","2014",6
"Weiherfeld-Dammerstock","2015",6
"Weiherfeld-Dammerstock","2016",6
"Weiherfeld-Dammerstock","2017",6
"Weiherfeld-Dammerstock","2018",6
"Weiherfeld-Dammerstock","2019",6
"Weiherfeld-Dammerstock","2020",7
"Rüppurr","2014",10
"Rüppurr","2015",10
"Rüppurr","2016",10
"Rüppurr","2017",10
"Rüppurr","2018",10
"Rüppurr","2019",10
"Rüppurr","2020",10
"Waldstadt","2014",27
"Waldstadt","2015",28
"Waldstadt","2016",28
"Waldstadt","2017",28
"Waldstadt","2018",28
"Waldstadt","2019",28
"Waldstadt","2020",28
"Rintheim","2014",8
"Rintheim","2015",8
"Rintheim","2016",8
"Rintheim","2017",8
"Rintheim","2018",8
"Rintheim","2019",8
"Rintheim","2020",8
"Hagsfeld","2014",12
"Hagsfeld","2015",11
"Hagsfeld","2016",11
"Hagsfeld","2017",11
"Hagsfeld","2018",11
"Hagsfeld","2019",11
"Hagsfeld","2020",10
"Durlach","2014",39
"Durlach","2015",37
"Durlach","2016",38
"Durlach","2017",37
"Durlach","2018",39
"Durlach","2019",37
"Durlach","2020",37
"Grötzingen","2014",11
"Grötzingen","2015",13
"Grötzingen","2016",13
"Grötzingen","2017",13
"Grötzingen","2018",13
"Grötzingen","2019",13
"Grötzingen","2020",13
"Stupferich","2014",5
"Stupferich","2015",5
"Stupferich","2016",5
"Stupferich","2017",5
"Stupferich","2018",6
"Stupferich","2019",6
"Stupferich","2020",6
"Hohenwettersbach","2014",9
"Hohenwettersbach","2015",9
"Hohenwettersbach","2016",9
"Hohenwettersbach","2017",9
"Hohenwettersbach","2018",9
"Hohenwettersbach","2019",9
"Hohenwettersbach","2020",9
"Wolfartsweier","2014",9
"Wolfartsweier","2015",9
"Wolfartsweier","2016",9
"Wolfartsweier","2017",9
"Wolfartsweier","2018",9
"Wolfartsweier","2019",7
"Wolfartsweier","2020",7
"Grünwettersbach","2014",11
"Grünwettersbach","2015",11
"Grünwettersbach","2016",11
"Grünwettersbach","2017",11
"Grünwettersbach","2018",11
"Grünwettersbach","2019",11
"Grünwettersbach","2020",11
"Palmbach","2014",6
"Palmbach","2015",6
"Palmbach","2016",6
"Palmbach","2017",6
"Palmbach","2018",6
"Palmbach","2019",6
"Palmbach","2020",7
"Neureut","2014",22
"Neureut","2015",23
"Neureut","2016",24
"Neureut","2017",24
"Neureut","2018",25
"Neureut","2019",24
"Neureut","2020",24
"Nordstadt","2014",8
"Nordstadt","2015",8
"Nordstadt","2016",8
"Nordstadt","2017",8
"Nordstadt","2018",8
"Nordstadt","2019",8
"Nordstadt","2020",8
